"time","intercept","intercept_se","sigma2","lambda","lambda_se","lambda_p_value","significance_code"
162,-0.145147410177847,0.0824710921659256,0.215768323325469,0.11778010928125,0.0121252959620152,0.0130680524693224,"*"
164,-0.131780245152582,0.0939968478905853,0.350240648272,0.0920760485630927,0.0384334112216976,0.0955941651109127,"."
166,-0.617944914686024,0.0736418661035933,0.284409052623572,0.0505072632241777,0.0646888711813969,0.477374445189877," "
168,-0.237717867105162,0.0794873758663941,0.323424162822128,0.054581361079335,0.0747448382678919,0.505803308966722," "
170,-0.413350919189872,0.0923508028499198,0.445245767077806,0.0512799897780311,0.0644341120522273,0.470166079242812," "
172,0.313266907068032,0.100090464127408,0.35566082036904,0.105513570910942,0.0276442116022343,0.0425836972723033,"*"
174,-0.183094178276485,0.0896885683061214,0.333214011599805,0.0862866312080352,0.0443259283002479,0.150059840805746," "
176,0.324370803533414,0.0955559931413072,0.382195784612185,0.0848792651188228,0.0500811715506397,0.206158775973364," "
178,-0.236125418967455,0.0711165309148945,0.299460068856001,0.0285377516758933,0.0736751971033518,0.710326215145877," "
180,0.137685165886308,0.100199727234688,0.409654875471778,0.0883040973380837,0.0466874171040445,0.174327881499556," "
182,-0.527399511812792,0.0836695745061703,0.295983404208276,0.0835073591399125,0.0454227935827788,0.162627919077884," "
184,0.0228260918283557,0.10010457498793,0.335523455245691,0.112070517121654,0.0195068334748269,0.0154188854675501,"*"
186,-0.354159741093384,0.0788610459145265,0.233329810262782,0.0989659944662777,0.0360434530446796,0.0944615340974259,"."
188,0.110353667067331,0.101687639745218,0.341084494186017,0.11368280758552,0.0165640473425784,0.00399097499010048,"**"
190,-0.422270723260374,0.11946183443497,0.442530837409027,0.120101247516677,0.00837138692764216,0.00095987109004303,"***"
192,-0.143420507063368,0.105889471585013,0.374638074320258,0.112297732730242,0.0181381013977989,0.0054463568755988,"**"
194,-0.145341760113111,0.121627630626674,0.532519684856403,0.103904534867325,0.0288126474841514,0.0429559232124387,"*"
196,-0.214093353395986,0.1019126632919,0.345616055268947,0.112738644966763,0.0174420592313334,0.00398386557952923,"**"
198,-0.0438564515976513,0.109548153013499,0.464408148460636,0.0951360189388266,0.0388462214401103,0.107600493805886," "
200,-0.208540096620197,0.0806593481951753,0.235885524711486,0.103061686145947,0.0295725635799171,0.0455270772512814,"*"
202,0.0212496615129439,0.115232333681482,0.47873991211432,0.103721462023442,0.030758521886112,0.0662634223001799,"."
204,-0.364992753071915,0.101377635976944,0.355503098903113,0.108471825490186,0.0236963646412632,0.0241046416955665,"*"
206,-0.332021987169468,0.117425638332829,0.4427979945344,0.116516496279275,0.0137479591078212,0.00873405083569423,"**"
