"CAC-L","CMF-L","CCM-L","CNU-L","ETL-L","FPL-L","FSF-L","IPL-L","ITL-L","ISL-L","IMC-L","LOL-L","LOF-L","LGL-L","MOF-L","MTL-L","PHL-L","PCL-L","PPS-L","POS-L","PTS-L","PCR-L","PTC-L","PCC-L","PRC-L","PCN-L","RAC-L","RMF-L","SFL-L","SPL-L","STL-L","SML-L","TPP-L","TTL-L","CAC-R","CMF-R","CCM-R","CNU-R","ETL-R","FPL-R","FSF-R","IPL-R","ITL-R","ISL-R","IMC-R","LOL-R","LOF-R","LGL-R","MOF-R","MTL-R","PHL-R","PCL-R","PPS-R","POS-R","PTS-R","PCR-R","PTC-R","PCC-R","PRC-R","PCN-R","RAC-R","RMF-R","SFL-R","SPL-R","STL-R","SML-R","TPP-R","TTL-R"
671.87,705.97,580.1,638.08,303.54,517.14,446.8,725.19,421.95,602.23,435.53,693.01,549.36,468.85,484.73,537.43,507.47,371.37,706.62,832.9,773.8,626.61,554.15,483.82,599.68,593.57,733.2,951.95,881.96,730.12,599.43,637.84,332.87,580.96,720.64,668.58,707.41,619.2,328.43,572.31,400.3,694.4,442.45,615.76,425.59,597.44,574.33,430.94,543.06,597.4,480.03,368.01,719.04,875.19,863.99,590.55,574.79,473.25,608.72,550.22,801.92,887.95,850.95,677.4,665.14,625.78,418.85,605.53
671.62,704.74,579.88,639.13,305.92,518.18,448.67,725.32,422.35,605.4,434.67,696.1,551.76,470.79,486.15,539.33,506.51,374.66,707.43,832.06,775.93,629.87,553.99,482.59,600.28,592.38,736.09,951.89,881.86,731.58,604.55,638.24,339.48,589.33,722.06,667.39,712.83,621.4,322.36,572.03,400.89,694.86,443.04,619.23,425.56,599.53,575.87,432.47,543.86,598.84,478.33,369.92,722.04,877.52,867.79,592.57,574.76,474.37,609.17,550.31,807.08,890.19,850.99,677.93,667.98,625.88,424.1,615.61
671.17,706.09,579.11,640.52,303.26,517.4,447.45,725.02,421.3,601.75,435.45,693.79,548.37,469.66,484.05,537.59,508.07,369.28,707.99,828.82,773.29,628.87,554.57,483.96,601.26,594.36,734.51,953.24,881.3,732.45,599.23,638.83,330.44,581.96,720.77,666.95,709.08,619.6,323.44,573.11,399.63,694.84,442.52,615.04,427.05,598.05,573,431.13,541.1,597.04,481.35,368.12,721.52,874.23,865.1,592.53,575.16,474.55,610.48,551.55,801.49,888.73,850.21,678.99,666.39,626.67,421.48,601.47
671.68,704.29,585.84,638.32,307.32,519.07,449.01,724.71,421.94,606.48,435.82,695.66,550.67,470.44,485.69,537.2,507.2,374.5,707.91,831.07,773.18,629.41,554.61,482.57,600.86,594.3,735.13,953.65,880.8,733.29,603.58,639.06,337.66,589.04,721.53,666.79,737.27,620.09,330.79,567.64,402.52,693.58,444.35,618.26,425.68,598.25,575.8,431.31,543.53,598.16,479.05,372.31,721.27,875.96,865.9,592.43,574.69,472.63,609.21,550.65,804.29,890.25,849.5,679.37,668.69,626.18,423.46,611.63
675.08,706.15,587.7,639.85,300.38,515.93,447.57,725.41,421.88,602.95,437.1,694.88,548.02,470.01,485.95,536.76,507.4,371.24,708.17,828.2,773.86,627.82,555.26,483.7,600.82,596.14,734.01,955.44,881.39,733.74,600.17,638.06,325.95,585.07,722.21,667.89,696.44,621.61,321.7,568.47,400.97,693.36,443.41,615.66,426.68,598.1,574.79,431.34,541.98,596.5,479.22,369.84,720.72,873.78,863.18,591.66,575.54,474.66,609.5,551.62,800.15,890.73,849.47,679.45,666.59,626.64,420.54,607.36
672.77,705.74,586.12,641.16,305.58,521.46,449.76,726,421.67,606.73,436.55,697.28,550.39,470.34,487.81,537.25,507.46,374.25,708.12,829.06,774.19,629.82,556.04,482.54,600.96,595.95,734.27,956.12,882.43,734.15,604.72,638.56,333.9,587.73,722.71,666.62,706.27,623.75,332.89,569.35,403.55,692.91,442.43,618.21,426.24,600.27,575.44,432.35,544,598.22,479.37,373.25,722.52,873.4,865.48,592.87,575.3,473.97,609.59,552.84,803.86,890.99,850.75,679.86,669.07,627.02,424.55,612.58
672.86,706.36,584.62,640.82,303.04,518.69,449.5,726.21,421.29,603.69,438.04,696.89,549.66,470.68,486.97,537.36,508.32,370.14,708.71,830.28,774.54,629.23,556.72,486.5,601.83,596.81,736.24,958,883.94,734.22,602.41,639.56,328.02,586.91,722.8,664.38,717.62,623.9,326.93,574.31,402.09,693.24,441.74,615.99,426.77,600.15,574.26,431.22,545.65,596.69,479.59,371.17,718.26,870.54,863.7,592.98,575.16,476.56,609.93,553.89,805.75,889.44,850.34,680.39,667,627.13,416.53,609.92
674.12,705.8,576.54,639.47,303.43,520.96,448.85,723.45,420.47,606.19,436.71,696.29,550.13,469.62,486.59,536.95,507.39,373.55,706.23,828.76,771.92,629.47,555.96,484.55,601.31,595.55,733.97,955.72,883.51,733.33,604.54,638.67,340.07,587.78,723.62,667.26,697.68,620.12,334.78,571.37,401.76,691.36,441.13,617.52,427.73,599.06,573.86,431.08,545.54,597.93,478.63,371.15,719.98,872.49,865.09,591.31,575.17,473.62,609.25,551.97,804.08,888.79,850.93,678.74,668.31,626.77,423.95,607.33
673.88,705.02,589.77,638.07,302.64,517.69,447.52,724.46,422.37,606.02,435.71,696.12,550.3,469.17,486.03,536.66,506.98,369.58,709.55,828.52,775.74,628.17,555.24,484.72,600.87,595.4,735.4,956.87,883.23,732.94,602.31,639.83,329.41,587.75,722.87,664.34,716.91,620.35,321.25,571.46,401.35,692.83,442.23,617.83,426.65,598.4,574.42,429.94,544.35,596.73,476.87,371.27,720.14,872.19,865.05,592.2,574.4,475.6,609.42,552.38,807,889.28,849.98,678.01,666.74,627.81,418.71,610.94
673,705.63,570.82,638.84,301.29,521.23,447.86,723.83,421.72,604.71,436.33,694.74,550.55,469.28,485.66,535.83,506.87,371.98,705.79,828.71,773.71,627.6,556.07,483.7,600.81,595.31,732.73,955.27,882.15,732.87,602.19,639.72,333.31,584.42,722.53,666.72,739.88,618.54,332.98,568.82,401.49,691.62,441.25,616.6,427.25,598.19,573.24,429.93,543.95,597.49,479.08,369.91,721.7,873.94,864.36,591.2,575.9,474.73,609.44,551.7,803.36,889.22,850.31,679.02,667.77,626.58,421.41,605.14
