"CAC-L","CMF-L","CCM-L","CNU-L","ETL-L","FPL-L","FSF-L","IPL-L","ITL-L","ISL-L","IMC-L","LOL-L","LOF-L","LGL-L","MOF-L","MTL-L","PHL-L","PCL-L","PPS-L","POS-L","PTS-L","PCR-L","PTC-L","PCC-L","PRC-L","PCN-L","RAC-L","RMF-L","SFL-L","SPL-L","STL-L","SML-L","TPP-L","TTL-L","CAC-R","CMF-R","CCM-R","CNU-R","ETL-R","FPL-R","FSF-R","IPL-R","ITL-R","ISL-R","IMC-R","LOL-R","LOF-R","LGL-R","MOF-R","MTL-R","PHL-R","PCL-R","PPS-R","POS-R","PTS-R","PCR-R","PTC-R","PCC-R","PRC-R","PCN-R","RAC-R","RMF-R","SFL-R","SPL-R","STL-R","SML-R","TPP-R","TTL-R"
1,1,0,56,2,5,13,1,1,5,24,36,15,67,65,0,7,3,0,3,4,6,8,0,233,45,23,83,5,58,42,0,135,0,0,0,0,154,712,28,3435,1915,9703,50,3,2568,20,2513,279,397,0,1440,29,9,11,54,75,0,27,287,8,81,256,757,98,55,1999,2
0,0,0,0,0,1,0,5,0,0,4,2,1,0,7,0,0,0,0,0,0,5,0,0,1,4,0,20,1,5,0,0,6,0,0,3,0,3,0,5,1915,4339,3330,51,0,1590,27,101,1,2088,3,179,32,67,94,8,190,0,1135,158,0,76,110,2403,821,938,18,0
0,0,0,27,0,3,3,0,0,1,0,22,9,21,65,1,7,3,0,3,0,2,3,0,216,7,21,88,8,29,20,0,78,0,0,8,0,18,155,22,9703,3330,4539,58,0,1975,27,207,235,4355,0,82,102,22,159,21,110,0,763,106,5,195,479,844,88,57,359,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0,0,50,51,58,1167,0,80,361,20,18,102,0,1,448,102,303,2,565,0,622,1,0,20,8,209,1202,348,8,253
18,0,0,7,8,0,4,0,0,0,279,3,0,43,2,0,31,22,0,0,0,4,3,396,0,146,0,0,10,2,0,0,10,0,32,0,0,239,0,0,3,0,0,0,381,3,0,461,1,0,4,10,0,0,0,32,0,272,0,851,8,0,110,6,0,0,3,0
0,0,1,510,2,1,63,108,49,1,25,842,2,426,3,13,0,15,0,2,2,616,3,0,3,24,1,44,5,180,55,0,101,0,0,1,0,294,118,31,2568,1590,1975,80,3,6262,286,1202,15,682,0,83,45,403,163,742,0,0,11,14,0,376,66,341,402,1,37,0
0,0,0,0,0,0,0,0,0,0,0,2,0,4,19,0,0,0,0,0,0,0,0,0,0,1,1,8,0,3,0,0,2,0,0,0,0,0,46,47,20,27,27,361,0,286,2620,129,531,123,0,25,66,516,82,28,9,0,11,4,0,1060,0,120,801,0,259,1
13,0,0,302,5,0,38,15,11,4,113,221,2,626,1,0,0,14,0,0,3,28,2,13,5,160,8,4,23,77,19,0,57,1,3,0,0,483,50,5,2513,101,207,20,461,1202,129,2168,11,251,0,390,5,196,28,1264,0,10,1,352,1,328,17,166,55,0,16,0
0,0,1,3,3,48,3,10,0,3,0,4,136,6,1157,3,4,2,0,5,0,0,1,1,0,25,336,84,38,210,32,0,264,0,1,0,0,1,14,144,279,1,235,18,1,15,531,11,1573,14,0,59,0,1,36,0,17,0,10,23,339,269,190,96,30,1,280,0
0,0,0,54,1,1,6,0,0,0,0,22,1,29,0,0,0,0,0,0,0,6,0,0,0,10,1,31,0,1,12,0,44,0,0,15,0,2,8,13,397,2088,4355,102,0,682,123,251,14,6331,0,1,110,56,37,11,32,0,735,3,0,150,164,669,2577,441,263,12
0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,463,0,0,0,0,0,10,34,1623,200,0,0,399,13,0,0,8,0,1,34,0,1,0,0,0,3,0,0,4,0,0,0,0,0,736,0,0,0,0,0,72,380,490,239,0,2,626,9,0,1,1,0
0,0,0,11,0,2,1,2,2,0,20,151,2,7,16,0,0,1,0,0,0,1,0,0,2,1,0,16,1,10,3,0,19,0,0,1,0,114,189,0,1440,179,82,1,10,83,25,390,59,1,0,881,2,3,0,23,0,0,0,333,4,12,77,46,17,0,286,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,6,0,0,0,1,0,0,456,0,0,0,0,29,32,102,448,0,45,66,5,0,110,0,2,382,72,639,3,133,0,949,1,0,373,219,201,202,136,0,37
0,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,44,0,0,0,0,1,0,0,7,0,1,0,2,9,67,22,102,0,403,516,196,1,56,0,3,72,215,162,39,17,0,55,1,0,612,64,148,278,104,9,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,7,4,2,0,0,0,0,0,150,0,0,0,0,11,94,159,303,0,163,82,28,36,37,0,0,639,162,859,6,186,0,89,0,0,901,432,748,242,111,0,27
